dim_1,dim_2,dim_3,value
1,1,1,0.000000438410985
1,1,2,0
1,1,3,0
1,1,4,0
1,1,5,3.65618e-21
1,1,6,9.71923e-22
1,1,7,1.19049e-22
1,1,8,5.70121e-25
1,1,9,0
1,1,10,0
1,1,11,0
1,1,12,0
1,1,13,0
1,1,14,0
1,1,15,0
1,1,16,0
1,2,1,0
1,2,2,0.0000005188376502
1,2,3,0
1,2,4,0
1,2,5,3.74535e-21
1,2,6,9.7989e-22
1,2,7,1.19375e-22
1,2,8,5.70642e-25
1,2,9,0
1,2,10,0
1,2,11,0
1,2,12,0
1,2,13,0
1,2,14,0
1,2,15,0
1,2,16,0
1,3,1,0
1,3,2,0
1,3,3,0.0000006419153673
1,3,4,0
1,3,5,4.01288e-21
1,3,6,1.00379e-21
1,3,7,1.20354e-22
1,3,8,5.72206e-25
1,3,9,0
1,3,10,0
1,3,11,0
1,3,12,0
1,3,13,0
1,3,14,0
1,3,15,0
1,3,16,0
1,4,1,0
1,4,2,0
1,4,3,0
1,4,4,0.0000008196986927
1,4,5,4.81545e-21
1,4,6,1.07549e-21
1,4,7,1.23289e-22
1,4,8,5.76896e-25
1,4,9,0
1,4,10,0
1,4,11,0
1,4,12,0
1,4,13,0
1,4,14,0
1,4,15,0
1,4,16,0
1,5,1,0
1,5,2,0
1,5,3,0
1,5,4,0
1,5,5,0.0000010240102875
1,5,6,7.06636e-21
1,5,7,1.32096e-22
1,5,8,5.90966e-25
1,5,9,0
1,5,10,0
1,5,11,0
1,5,12,0
1,5,13,0
1,5,14,0
1,5,15,0
1,5,16,0
1,6,1,0
1,6,2,0
1,6,3,0
1,6,4,0
1,6,5,3.4176e-20
1,6,6,0.0000010769826191
1,6,7,4.61786e-21
1,6,8,6.33178e-25
1,6,9,0
1,6,10,0
1,6,11,0
1,6,12,0
1,6,13,0
1,6,14,0
1,6,15,0
1,6,16,0
1,7,1,0
1,7,2,0
1,7,3,0
1,7,4,0
1,7,5,2.93182e-22
1,7,6,1.59989e-20
1,7,7,0.0000006598009876
1,7,8,2.14876e-21
1,7,9,0
1,7,10,0
1,7,11,0
1,7,12,0
1,7,13,0
1,7,14,0
1,7,15,0
1,7,16,0
1,8,1,0
1,8,2,0
1,8,3,0
1,8,4,0
1,8,5,7.23221e-25
1,8,6,7.76732e-25
1,8,7,4.00107e-21
1,8,8,0.0000001009634095
1,8,9,7.76049e-24
1,8,10,0
1,8,11,0
1,8,12,0
1,8,13,0
1,8,14,0
1,8,15,0
1,8,16,0
1,9,1,0
1,9,2,0
1,9,3,0
1,9,4,0
1,9,5,0
1,9,6,0
1,9,7,0
1,9,8,1.54328e-23
1,9,9,0.0000000005898043
1,9,10,0
1,9,11,0
1,9,12,0
1,9,13,0
1,9,14,0
1,9,15,0
1,9,16,0
1,10,1,0
1,10,2,0
1,10,3,0
1,10,4,0
1,10,5,0
1,10,6,0
1,10,7,0
1,10,8,0
1,10,9,0
1,10,10,0
1,10,11,0
1,10,12,0
1,10,13,0
1,10,14,0
1,10,15,0
1,10,16,0
1,11,1,0
1,11,2,0
1,11,3,0
1,11,4,0
1,11,5,0
1,11,6,0
1,11,7,0
1,11,8,0
1,11,9,0
1,11,10,0
1,11,11,0
1,11,12,0
1,11,13,0
1,11,14,0
1,11,15,0
1,11,16,0
1,12,1,0
1,12,2,0
1,12,3,0
1,12,4,0
1,12,5,0
1,12,6,0
1,12,7,0
1,12,8,0
1,12,9,0
1,12,10,0
1,12,11,0
1,12,12,0
1,12,13,0
1,12,14,0
1,12,15,0
1,12,16,0
1,13,1,0
1,13,2,0
1,13,3,0
1,13,4,0
1,13,5,0
1,13,6,0
1,13,7,0
1,13,8,0
1,13,9,0
1,13,10,0
1,13,11,0
1,13,12,0
1,13,13,0
1,13,14,0
1,13,15,0
1,13,16,0
1,14,1,0
1,14,2,0
1,14,3,0
1,14,4,0
1,14,5,0
1,14,6,0
1,14,7,0
1,14,8,0
1,14,9,0
1,14,10,0
1,14,11,0
1,14,12,0
1,14,13,0
1,14,14,0
1,14,15,0
1,14,16,0
1,15,1,0
1,15,2,0
1,15,3,0
1,15,4,0
1,15,5,0
1,15,6,0
1,15,7,0
1,15,8,0
1,15,9,0
1,15,10,0
1,15,11,0
1,15,12,0
1,15,13,0
1,15,14,0
1,15,15,0
1,15,16,0
1,16,1,0
1,16,2,0
1,16,3,0
1,16,4,0
1,16,5,0
1,16,6,0
1,16,7,0
1,16,8,0
1,16,9,0
1,16,10,0
1,16,11,0
1,16,12,0
1,16,13,0
1,16,14,0
1,16,15,0
1,16,16,0
