dim_1,dim_2,dim_3,value
1,1,1,3536336674.5856180191040039
1,1,2,0
1,1,3,0
1,1,4,0
1,1,5,-1.52395e-63
1,1,6,1.52395e-63
1,1,7,-1.47883e-78
1,1,8,2.74024e-91
1,1,9,-1.26627e-109
1,1,10,0
1,1,11,0
1,1,12,0
1,1,13,0
1,1,14,0
1,1,15,0
1,1,16,0
1,2,1,0
1,2,2,1395026336.0942134857177734
1,2,3,0
1,2,4,0
1,2,5,7.1002e-49
1,2,6,-7.1002e-49
1,2,7,1.04866e-63
1,2,8,-1.07415e-76
1,2,9,1.10766e-94
1,2,10,0
1,2,11,0
1,2,12,0
1,2,13,0
1,2,14,0
1,2,15,0
1,2,16,0
1,3,1,0
1,3,2,0
1,3,3,575317309.5210055112838745
1,3,4,0
1,3,5,-1.23431e-34
1,3,6,1.23431e-34
1,3,7,-2.80144e-49
1,3,8,1.58379e-62
1,3,9,-3.59623e-80
1,3,10,0
1,3,11,0
1,3,12,0
1,3,13,0
1,3,14,0
1,3,15,0
1,3,16,0
1,4,1,0
1,4,2,0
1,4,3,0
1,4,4,244885266.0450237691402435
1,4,5,1.04341e-20
1,4,6,-1.04341e-20
1,4,7,3.72324e-35
1,4,8,-1.17301e-48
1,4,9,5.85578e-66
1,4,10,0
1,4,11,0
1,4,12,0
1,4,13,0
1,4,14,0
1,4,15,0
1,4,16,0
1,5,1,0
1,5,2,0
1,5,3,0
1,5,4,0
1,5,5,101974475.066462978720665
1,5,6,0.0000004628241373
1,5,7,-2.70704e-21
1,5,8,4.86242e-35
1,5,9,-5.38823e-52
1,5,10,0
1,5,11,0
1,5,12,0
1,5,13,0
1,5,14,0
1,5,15,0
1,5,16,0
1,6,1,0
1,6,2,0
1,6,3,0
1,6,4,0
1,6,5,0.0000026354200873
1,6,6,35749880.8291319161653519
1,6,7,0.0000001101599618
1,6,8,-1.17615e-21
1,6,9,2.95992e-38
1,6,10,0
1,6,11,0
1,6,12,0
1,6,13,0
1,6,14,0
1,6,15,0
1,6,16,0
1,7,1,0
1,7,2,0
1,7,3,0
1,7,4,0
1,7,5,-1.30705e-20
1,7,6,0.0000003865110529
1,7,7,7300584.1379457777366042
1,7,8,0.0000000165867103
1,7,9,-9.88337e-25
1,7,10,0
1,7,11,0
1,7,12,0
1,7,13,0
1,7,14,0
1,7,15,0
1,7,16,0
1,8,1,0
1,8,2,0
1,8,3,0
1,8,4,0
1,8,5,2.93359e-35
1,8,6,-1.06281e-21
1,8,7,0.0000000308927895
1,8,8,372380.9047163266222924
1,8,9,0.0000000000197902
1,8,10,0
1,8,11,0
1,8,12,0
1,8,13,0
1,8,14,0
1,8,15,0
1,8,16,0
1,9,1,0
1,9,2,0
1,9,3,0
1,9,4,0
1,9,5,-2.35511e-51
1,9,6,1.02354e-37
1,9,7,-3.72089e-24
1,9,8,0.0000000000393554
1,9,9,725.1202959137286825
1,9,10,0
1,9,11,0
1,9,12,0
1,9,13,0
1,9,14,0
1,9,15,0
1,9,16,0
1,10,1,0
1,10,2,0
1,10,3,0
1,10,4,0
1,10,5,0
1,10,6,0
1,10,7,0
1,10,8,0
1,10,9,0
1,10,10,0
1,10,11,0
1,10,12,0
1,10,13,0
1,10,14,0
1,10,15,0
1,10,16,0
1,11,1,0
1,11,2,0
1,11,3,0
1,11,4,0
1,11,5,0
1,11,6,0
1,11,7,0
1,11,8,0
1,11,9,0
1,11,10,0
1,11,11,0
1,11,12,0
1,11,13,0
1,11,14,0
1,11,15,0
1,11,16,0
1,12,1,0
1,12,2,0
1,12,3,0
1,12,4,0
1,12,5,0
1,12,6,0
1,12,7,0
1,12,8,0
1,12,9,0
1,12,10,0
1,12,11,0
1,12,12,0
1,12,13,0
1,12,14,0
1,12,15,0
1,12,16,0
1,13,1,0
1,13,2,0
1,13,3,0
1,13,4,0
1,13,5,0
1,13,6,0
1,13,7,0
1,13,8,0
1,13,9,0
1,13,10,0
1,13,11,0
1,13,12,0
1,13,13,0
1,13,14,0
1,13,15,0
1,13,16,0
1,14,1,0
1,14,2,0
1,14,3,0
1,14,4,0
1,14,5,0
1,14,6,0
1,14,7,0
1,14,8,0
1,14,9,0
1,14,10,0
1,14,11,0
1,14,12,0
1,14,13,0
1,14,14,0
1,14,15,0
1,14,16,0
1,15,1,0
1,15,2,0
1,15,3,0
1,15,4,0
1,15,5,0
1,15,6,0
1,15,7,0
1,15,8,0
1,15,9,0
1,15,10,0
1,15,11,0
1,15,12,0
1,15,13,0
1,15,14,0
1,15,15,0
1,15,16,0
1,16,1,0
1,16,2,0
1,16,3,0
1,16,4,0
1,16,5,0
1,16,6,0
1,16,7,0
1,16,8,0
1,16,9,0
1,16,10,0
1,16,11,0
1,16,12,0
1,16,13,0
1,16,14,0
1,16,15,0
1,16,16,0
